Track name,Artist name,Album,Playlist name,Type,ISRC
"Shoi Miyazawa · Shoi Miyazawa - The Shrouded Roundtable Hold","","","Tudo e qualquer coisa","Playlist",""
"Radiohead - Jigsaw Falling Into Place","","","Tudo e qualquer coisa","Playlist",""
"Kate Bush - Hounds Of Love","","","Tudo e qualquer coisa","Playlist",""
"Kate Bush - Cloudbusting","","","Tudo e qualquer coisa","Playlist",""
"Kate Bush - Wuthering Heights","","","Tudo e qualquer coisa","Playlist",""
"Radiohead - Planet Telex","","","Tudo e qualquer coisa","Playlist",""
"Radiohead - The Bends","","","Tudo e qualquer coisa","Playlist",""
"Radiohead - High and Dry","","","Tudo e qualquer coisa","Playlist",""
"Radiohead - Fake Plastic Trees","","","Tudo e qualquer coisa","Playlist",""
"Radiohead - Bones","","","Tudo e qualquer coisa","Playlist",""
"Radiohead - [Nice Dream]","","","Tudo e qualquer coisa","Playlist",""
"Radiohead - Just","","","Tudo e qualquer coisa","Playlist",""
"Radiohead - My Iron Lung","","","Tudo e qualquer coisa","Playlist",""
"Radiohead - Bullet Proof ... I Wish I Was","","","Tudo e qualquer coisa","Playlist",""
"Radiohead - Black Star","","","Tudo e qualquer coisa","Playlist",""
"Radiohead - Sulk","","","Tudo e qualquer coisa","Playlist",""
"Radiohead - Street Spirit (Fade Out)","","","Tudo e qualquer coisa","Playlist",""
"Djavan - Meu Bem Querer","","","Tudo e qualquer coisa","Playlist",""
"Djavan - Flor de Lis","","","Tudo e qualquer coisa","Playlist",""
"Djavan - Sorri (Smile)","","","Tudo e qualquer coisa","Playlist",""
"Djavan - Se...","","","Tudo e qualquer coisa","Playlist",""
"Djavan - Um Amor Puro","","","Tudo e qualquer coisa","Playlist",""
"Djavan - Nem um Dia","","","Tudo e qualquer coisa","Playlist",""
"Djavan · Stevie Wonder - Samurai","","","Tudo e qualquer coisa","Playlist",""
"Deftones - You've Seen the Butcher","","","Tudo e qualquer coisa","Playlist",""
"Deftones - Diamond Eyes","","","Tudo e qualquer coisa","Playlist",""
"Deftones - Risk","","","Tudo e qualquer coisa","Playlist",""
"Deftones - Headup","","","Tudo e qualquer coisa","Playlist",""
"Deftones - Lhabia","","","Tudo e qualquer coisa","Playlist",""
"Deftones - Around the Fur","","","Tudo e qualquer coisa","Playlist",""
"Deftones - ecdysis","","","Tudo e qualquer coisa","Playlist",""
"Deftones - i think about you all the time","","","Tudo e qualquer coisa","Playlist",""
"Deftones - my mind is a mountain","","","Tudo e qualquer coisa","Playlist",""
"Deftones - infinite source","","","Tudo e qualquer coisa","Playlist",""
"Megadeth - Peace Sells (2004 Remaster)","","","Tudo e qualquer coisa","Playlist",""
"Black Sabbath - Paranoid (2009 Remaster)","","","Tudo e qualquer coisa","Playlist",""
"Metallica - Seek & Destroy (Remastered)","","","Tudo e qualquer coisa","Playlist",""
"Nirvana - Lounge Act","","","Tudo e qualquer coisa","Playlist",""
"Nirvana - Drain You","","","Tudo e qualquer coisa","Playlist",""
"Nirvana - Territorial Pissings","","","Tudo e qualquer coisa","Playlist",""
